Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Sudan,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.50,0.03,-0.02,62.50,1900,61.10,16.30,6.83,0.18,92.99,2.00,34.53,8.97,0.39,0.20,0.41
Suriname,LATIN AMER. & CARIB    ,439117,163270,2.70,0.24,-8.81,23.57,4000,93.00,184.70,0.37,0.06,99.57,2.00,18.02,7.27,0.13,0.22,0.65
Eswatini,SUB-SAHARAN AFRICA                 ,1136334,17363,65.50,0.00,0.00,69.27,4900,81.60,30.80,10.35,0.70,88.95,2.50,27.41,29.74,0.12,0.52,0.37
Sweden,WESTERN EUROPE                     ,9016596,449964,20.00,0.72,1.67,2.77,26800,99.00,715.00,6.54,0.01,93.45,3.00,10.27,10.31,0.01,0.28,0.71
Switzerland,WESTERN EUROPE                     ,7523934,41290,182.20,0.00,4.05,4.39,32700,99.00,680.90,10.42,0.61,88.97,3.00,9.71,8.49,0.02,0.34,0.65
Syria,NEAR EAST                          ,18881361,185180,102.00,0.10,0.00,29.53,3300,76.90,153.80,25.22,4.43,70.35,1.00,27.76,4.81,0.25,0.23,0.52
Taiwan,ASIA (EX. NEAR EAST)         ,23036087,35980,640.30,4.35,0.00,6.40,23400,96.10,591.00,24.00,1.00,75.00,2.00,12.56,6.48,0.02,0.26,0.72
Tajikistan,C.W. OF IND. STATES ,7320815,143100,51.20,0.00,-2.86,110.76,1000,99.40,33.50,6.61,0.92,92.47,2.00,32.65,8.25,0.23,0.29,0.48
Tanzania,SUB-SAHARAN AFRICA                 ,37445392,945087,39.60,0.15,-2.06,98.54,600,78.20,4.00,4.52,1.08,94.40,,37.71,16.39,0.43,0.17,0.40
Thailand,ASIA (EX. NEAR EAST)         ,64631595,514000,125.70,0.63,0.00,20.48,7400,92.60,108.90,29.36,6.46,64.18,2.00,13.87,7.04,0.10,0.44,0.46
Togo,SUB-SAHARAN AFRICA                 ,5548702,56785,97.70,0.10,0.00,66.61,1500,60.90,10.60,46.15,2.21,51.64,2.00,37.01,9.83,0.40,0.20,0.40
Tonga,OCEANIA                            ,114689,748,153.30,56.02,0.00,12.62,2200,98.50,97.70,23.61,43.06,33.33,2.00,25.37,5.28,0.23,0.27,0.50
Trinidad and Tobago,LATIN AMER. & CARIB    ,1065842,5128,207.90,7.06,-10.83,24.31,9500,98.60,303.50,14.62,9.16,76.22,2.00,12.90,10.57,0.01,0.57,0.42
Tunisia,NORTHERN AFRICA                    ,10175014,163610,62.20,0.70,-0.57,24.77,6900,74.20,123.60,17.86,13.74,68.40,3.00,15.52,5.13,0.13,0.32,0.55
Turkey,NEAR EAST                          ,70413958,780580,90.20,0.92,0.00,41.04,6700,86.50,269.50,30.93,3.31,65.76,3.00,16.62,5.97,0.12,0.30,0.59
Turkmenistan,C.W. OF IND. STATES ,5042920,488100,10.30,0.00,-0.86,73.08,5800,98.00,74.60,3.72,0.14,96.14,1.00,27.61,8.60,0.21,0.38,0.41
Turks and Caicos Island,LATIN AMER. & CARIB    ,21152,430,49.20,90.47,11.68,15.67,9600,98.00,269.50,2.33,0.00,97.67,2.00,21.84,4.21,,,
Tuvalu,OCEANIA                            ,11810,26,454.20,92.31,0.00,20.03,1100,,59.30,0.00,0.00,100.00,2.00,22.18,7.11,0.17,0.27,0.56
Uganda,SUB-SAHARAN AFRICA                 ,28195754,236040,119.50,0.00,0.00,67.83,1400,69.90,3.60,25.88,10.65,63.47,2.00,47.35,12.24,0.31,0.22,0.47
Ukraine,C.W. OF IND. STATES ,46710816,603700,77.40,0.46,-0.39,20.34,5400,99.70,259.90,56.21,1.61,42.18,3.00,8.82,14.39,0.19,0.45,0.36
United Arab Emirates,NEAR EAST                          ,2602713,82880,31.40,1.59,1.03,14.51,23200,77.90,475.30,0.60,2.25,97.15,1.00,18.96,4.40,0.04,0.59,0.38
United Kingdom,WESTERN EUROPE                     ,60609153,244820,247.60,5.08,2.19,5.16,27700,99.00,543.50,23.46,0.21,76.33,3.00,10.71,10.13,0.01,0.24,0.76
United States of America,NORTHERN AMERICA                   ,298444215,9631420,31.00,0.21,3.41,6.50,37800,97.00,898.00,19.13,0.22,80.65,3.00,14.14,8.26,0.01,0.20,0.79
Uruguay,LATIN AMER. & CARIB    ,3431932,176220,19.50,0.37,-0.32,11.95,12800,98.00,291.40,7.43,0.23,92.34,3.00,13.91,9.05,0.09,0.31,0.60
Uzbekistan,C.W. OF IND. STATES ,27307134,447400,61.00,0.00,-1.72,71.10,1700,99.30,62.90,10.83,0.83,88.34,1.00,26.36,7.84,0.34,0.23,0.43
Vanuatu,OCEANIA                            ,208869,12200,17.10,20.72,0.00,55.16,2900,53.00,32.60,2.46,7.38,90.16,2.00,22.72,7.82,0.26,0.12,0.62
Venezuela,LATIN AMER. & CARIB    ,25730435,912050,28.20,0.31,-0.04,22.20,4800,93.40,140.10,2.95,0.92,96.13,2.00,18.71,4.92,0.04,0.42,0.54
Vietnam,ASIA (EX. NEAR EAST)         ,84402966,329560,256.10,1.05,-0.45,25.95,2500,90.30,187.70,19.97,5.95,74.08,2.00,16.86,6.22,0.21,0.41,0.38
Virgin Islands,LATIN AMER. & CARIB    ,108605,1910,56.90,9.84,-8.94,8.03,17200,,652.80,11.76,2.94,85.30,2.00,13.96,6.43,0.01,0.19,0.80
Wallis and Futuna,OCEANIA                            ,16025,274,58.50,47.08,,,3700,50.00,118.60,5.00,25.00,70.00,2.00,,,,,
West Bank and Gaza,NEAR EAST                          ,2460492,5860,419.90,0.00,2.98,19.62,800,,145.20,16.90,18.97,64.13,3.00,31.67,3.92,0.09,0.28,0.63
W. Sahara,NORTHERN AFRICA                    ,273008,266000,1.00,0.42,,,,,,0.02,0.00,99.98,1.00,,,,,0.40
Yemen,NEAR EAST                          ,21456188,527970,40.60,0.36,0.00,61.50,800,50.20,37.20,2.78,0.24,96.98,1.00,42.89,8.30,0.14,0.47,0.39
Zambia,SUB-SAHARAN AFRICA                 ,11502010,752614,15.30,0.00,0.00,88.29,800,80.60,8.20,7.08,0.03,92.90,2.00,41.00,19.93,0.22,0.29,0.49
Zimbabwe,SUB-SAHARAN AFRICA                 ,12236805,390580,31.30,0.00,0.00,67.69,1900,90.70,26.80,8.32,0.34,91.34,2.00,28.01,21.84,0.18,0.24,0.58
